97716,30
11702,18
48609,21
61825,23
61827,30
96018,3
96019,28
96022,8
96024,20
96020,10
20766,14
20767,21
74388,27
74389,28
74390,18
74391,10
74393,16
27043,23
27044,29
93190,9
93191,6
93195,8
115030,8
115031,12
115033,9
4542,7
39905,24
39906,3
39908,2
61332,30
40230,15
15971,2
40364,2
29112,22
29115,30
29117,18
29113,21
29120,4
43401,24
1857,23
1860,3
1858,8
2,6
3,10
5,7
8,25
1292,12
1295,18
1293,5
3185,19
3186,12
3188,29
12,3
16,16
18,27
1304,11
2105,7
4312,17
9544,2
10354,25
17568,13
26543,16
44718,14
44733,16
44833,5
47032,15
48748,20
51877,12
55180,23
55423,23
59140,30
67148,23
94257,8
75114,20
100641,18
109624,6
112492,20
20,30
22,19
26,29
23,28
24,15
29,7
31,7
33,18
1323,18
35,20
36,12
39,5
41,23
44,14
42,29
47,14
49,9
46,11
48,5
3930,25
4447,5
4449,24
4451,16
7762,20
10482,3
11333,25
14167,5
17050,9
18569,30
71353,24
51,21
53,24
55,24
57,28
59,12
61,18
33630,23
87289,10
91963,16
114812,20
63,20
65,4
66,6
67,3
69,18
71,18
74,6
76,7
78,4
80,14
153,8
155,29
156,29
159,22
161,20
163,25
165,2
167,12
169,27
171,4
172,24
175,9
177,28
180,19
179,22
183,14
185,24
188,29
191,23
193,26
195,14
200,5
196,10
197,5
198,13
202,16
204,28
205,24
3538,21
208,11
210,4
213,19
216,23
212,2
218,25
32169,27
220,17
222,7
225,25
228,13
230,28
226,18
232,6
234,25
236,19
237,26
239,24
4103,13
4151,9
35799,20
60704,11
62049,15
75554,2
77237,13
78638,9
84974,15
85797,20
78647,19
85909,15
87728,11
87750,19
87814,8
88904,7
88944,11
102791,2
2290,6
44224,22
44226,30
87721,14
96492,11
241,26
244,12
242,17
247,13
250,20
252,16
255,18
257,13
258,21
260,29
262,16
265,6
266,26
268,26
253,23
293,14
270,30
271,27
274,20
272,18
277,9
279,8
281,30
283,24
285,13
288,28
290,25
10919,7
292,10
295,5
297,23
301,15
298,6
304,25
306,17
14615,22
30287,12
74041,3
94607,8
107180,4
107680,27
308,4
